1.13E-02	3.02E-07
1.42E-02	2.85E-07
1.79E-02	2.84E-07
2.25E-02	2.96E-07
2.84E-02	3.20E-07
3.57E-02	3.58E-07
4.50E-02	4.08E-07
5.66E-02	4.73E-07
7.13E-02	5.53E-07
8.97E-02	6.52E-07
1.13E-01	7.72E-07
1.42E-01	9.17E-07
1.79E-01	1.09E-06
2.25E-01	1.30E-06
2.84E-01	1.55E-06
3.57E-01	1.84E-06
4.50E-01	2.20E-06
5.66E-01	2.62E-06
7.13E-01	3.12E-06
8.97E-01	3.71E-06
1.13E+00	4.42E-06
1.42E+00	5.26E-06
1.79E+00	6.25E-06
2.25E+00	7.42E-06
2.84E+00	8.80E-06
3.57E+00	1.04E-05
4.50E+00	1.23E-05
5.66E+00	1.45E-05
7.13E+00	1.70E-05
8.97E+00	1.99E-05
1.13E+01	2.31E-05
1.42E+01	2.68E-05
1.79E+01	3.07E-05
2.25E+01	3.49E-05
2.84E+01	3.93E-05
3.57E+01	4.37E-05
4.50E+01	4.79E-05
5.66E+01	5.17E-05
7.13E+01	5.49E-05
8.97E+01	5.72E-05
1.13E+02	5.82E-05
1.42E+02	5.78E-05
1.79E+02	5.61E-05
2.25E+02	5.33E-05
2.84E+02	4.95E-05
3.57E+02	4.48E-05
4.50E+02	3.96E-05
5.66E+02	3.40E-05
7.13E+02	2.84E-05
8.97E+02	2.30E-05
1.13E+03	1.80E-05
1.42E+03	1.36E-05
1.79E+03	9.98E-06
2.25E+03	7.08E-06
2.84E+03	4.86E-06
3.57E+03	3.24E-06
4.50E+03	2.10E-06
5.66E+03	1.33E-06
7.13E+03	8.22E-07
8.97E+03	4.99E-07
1.13E+04	2.98E-07
1.42E+04	1.76E-07
1.79E+04	1.02E-07
2.25E+04	5.90E-08
2.84E+04	3.38E-08
3.57E+04	1.92E-08
4.50E+04	1.09E-08
5.66E+04	6.11E-09
7.13E+04	3.43E-09
8.97E+04	1.92E-09
1.13E+05	1.07E-09
1.42E+05	5.98E-10
1.79E+05	3.33E-10
2.25E+05	1.85E-10
2.84E+05	1.03E-10
3.57E+05	5.31E-11
4.50E+05	2.69E-11
5.66E+05	1.36E-11
7.13E+05	6.87E-12
8.97E+05	3.47E-12

